ID,prev_game_1,prev_game_2,next_game,team_1,team_2,winner
A11,,,A21,1211,1209,
A12,,,A21,1129,1272,
A13,,,A22,1163,1308,
A14,,,A22,1116,1436,
A15,,,A23,1104,1323,
A16,,,A23,1403,1286,
A17,,,A24,1277,1172,
A18,,,A24,1181,1168,
A21,A11,A12,A31,,,
A22,A13,A14,A31,,,
A23,A15,A16,A32,,,
A24,A17,A18,A32,,,
A31,A21,A22,A41,,,
A32,A23,A24,A41,,,
A41,A31,A32,E51,,,
B11,,,B21,1124,1313,
B12,,,B21,1422,1266,
B13,,,B22,1388,1231,
B14,,,B22,1417,1103,
B15,,,B23,1400,1439,
B16,,,B23,1345,1463,
B17,,,B24,1293,1362,
B18,,,B24,1246,1389,
B21,B11,B12,B31,,,
B22,B13,B14,B31,,,
B23,B15,B16,B32,,,
B24,B17,B18,B32,,,
B31,B21,B22,B41,,,
B32,B23,B24,B41,,,
B41,B31,B32,E51,,,
C11,,,C21,1112,1460,
C12,,,C21,1371,1395,
C13,,,C22,1222,1412,
C14,,,C22,1228,1151,
C15,,,C23,1161,1276,
C16,,,C23,1397,1255,
C17,,,C24,1326,1260,
C18,,,C24,1437,1174,
C21,C11,C12,C31,,,
C22,C13,C14,C31,,,
C23,C15,C16,C32,,,
C24,C17,C18,C32,,,
C31,C21,C22,C41,,,
C32,C23,C24,C41,,,
C41,C31,C32,E52,,,
D11,,,D21,1242,1411,
D12,,,D21,1361,1166,
D13,,,D22,1234,1350,
D14,,,D22,1344,1355,
D15,,,D23,1261,1235,
D16,,,D23,1458,1159,
D17,,,D24,1425,1274,
D18,,,D24,1120,1240,
D21,D11,D12,D31,,,
D22,D13,D14,D31,,,
D23,D15,D16,D32,,,
D24,D17,D18,D32,,,
D31,D21,D22,D41,,,
D32,D23,D24,D41,,,
D41,D31,D32,E52,,,
E51,A41,B41,E69,,,
E52,C41,D41,E69,,,
E69,E51,E52,,,,
